STAID,SOUID,DATE,DD,Q_DD
   189,114683,20190227,  338,    0
   189,114683,20190228,   17,    0
   189,114683,20190301,  352,    0
   189,114683,20190302,   10,    0
   189,114683,20190303,   15,    0
   189,114683,20190304,   16,    0
   189,114683,20190305,    3,    0
   189,114683,20190306,  348,    0
   189,114683,20190307,   32,    0
   189,114683,20190308,   77,    0
   189,114683,20190309,  335,    0
   189,114683,20190310,  312,    0
   189,114683,20190311,  114,    0
   189,114683,20190312,  120,    0
   189,114683,20190313,   12,    0
   189,114683,20190314,    3,    0
   189,114683,20190315,  359,    0
   189,114683,20190316,  340,    0
   189,114683,20190317,  175,    0
   189,114683,20190318,  268,    0
   189,114683,20190319,  185,    0
   189,114683,20190320,  240,    0
   189,114683,20190321,  245,    0
   189,114683,20190322,   81,    0
   189,114683,20190323,  341,    0
   189,114683,20190324,   15,    0
   189,114683,20190325,   53,    0
   189,114683,20190326,  103,    0
   189,114683,20190327,  244,    0
   189,114683,20190328,  307,    0
   189,114683,20190329,  342,    0
   189,114683,20190330,  343,    0
   189,114683,20190331,  223,    0
   189,114683,20190401,  337,    0
   189,114683,20190402,    2,    0
   189,114683,20190403,  200,    0
   189,114683,20190404,  200,    0
   189,114683,20190405,   12,    0
   189,114683,20190406,  359,    0
   189,114683,20190407,   59,    0
   189,114683,20190408,  292,    0
   189,114683,20190409,  208,    0
   189,114683,20190410,  214,    0
   189,114683,20190411,  219,    0
   189,114683,20190412,  211,    0
   189,114683,20190413,  189,    0
   189,114683,20190414,  191,    0
   189,114683,20190415,  196,    0
   189,114683,20190416,  195,    0
   189,114683,20190417,  205,    0
   189,114683,20190418,  181,    0
   189,114683,20190419,  192,    0
   189,114683,20190420,  177,    0
   189,114683,20190421,  355,    0
   189,114683,20190422,    1,    0
   189,114683,20190423,  144,    0
   189,114683,20190424,  126,    0
   189,114683,20190425,  210,    0
   189,114683,20190426,  188,    0
   189,114683,20190427,  206,    0
   189,114683,20190428,  203,    0
   189,114683,20190429,  214,    0
